Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Tot Cases/1M Pop,Deaths/1M Pop,Total Tests,Tests/1M Pop,Population
USA,"9,214,994","234,201","5,984,184","2,996,609","27,786",706,"141,674,095","427,189",331642770
India,"8,088,851","121,131","7,373,375","594,345","5,843",87,"107,728,088","77,813",1384456382
Brazil,"5,496,402","159,033","4,954,159","383,210","25,798",746,"21,900,000","102,789",213056940
Russia,"1,599,976","27,656","1,200,560","371,760","10,962",189,"59,866,561","410,171",145955236
France,"1,282,769","36,020","115,287","1,131,462","19,638",551,"15,592,956","238,711",65321359
Spain,"1,238,922","35,639",N/A,N/A,"26,495",762,"16,690,076","356,925",46760790
Argentina,"1,143,800","30,442","946,134","167,224","25,232",672,"2,947,344","65,017",45331975
Colombia,"1,053,122","30,926","950,348","71,848","20,625",606,"4,940,714","96,762",51060661
UK,"965,340","45,955",N/A,N/A,"14,195",676,"33,089,838","486,589",68003706
Mexico,"912,811","90,773","668,667","153,371","7,055",702,"2,365,584","18,284",129376862
Peru,"897,594","34,362","819,717","43,515","27,100","1,037","4,473,483","135,062",33121760
South Africa,"721,770","19,164","649,935","52,671","12,120",322,"4,777,609","80,224",59553172
Italy,"616,595","38,122","279,282","299,191","10,203",631,"15,353,490","254,061",60432243
Iran,"596,941","34,113","472,598","90,230","7,077",404,"4,857,392","57,590",84344353
Chile,"507,050","14,118","483,922","9,010","26,450",736,"4,232,623","220,793",19170131
Germany,"498,353","10,435","339,200","148,718","5,942",124,"21,882,967","260,907",83872585
Iraq,"467,755","10,815","394,386","62,554","11,546",267,"2,833,070","69,929",40513679
Indonesia,"406,945","13,782","334,295","58,868","1,483",50,"4,463,884","16,264",274471776
Bangladesh,"406,364","5,905","322,703","77,756","2,459",36,"2,324,730","14,070",165227680
Belgium,"392,258","11,308","24,443","356,507","33,797",974,"4,823,283","415,575",11606289
Philippines,"378,933","7,185","330,457","41,291","3,443",65,"4,719,864","42,885",110057490
Ukraine,"378,729","7,041","155,026","216,662","8,677",161,"3,176,397","72,777",43645874
Turkey,"370,832","10,099","320,762","39,971","4,381",119,"13,741,180","162,355",84636500
Saudi Arabia,"346,482","5,363","333,005","8,114","9,902",153,"7,945,021","227,063",34990437
Poland,"340,834","5,351","134,724","200,759","9,009",141,"4,653,611","123,005",37832825
Pakistan,"332,186","6,795","313,527","11,864","1,494",31,"4,409,537","19,838",222281868
Netherlands,"330,255","7,258",N/A,N/A,"19,260",423,"3,327,701","194,064",17147432
Israel,"313,590","2,511","299,822","11,257","34,095",273,"4,546,335","494,296","9,197,590"
Czechia,"310,068","2,862","128,628","178,578","28,936",267,"2,203,719","205,656",10715565
Romania,"229,040","6,764","163,852","58,424","11,932",352,"3,169,978","165,148",19194731
Canada,"228,542","10,074","191,209","27,259","6,038",266,"9,753,158","257,673",37850887
Morocco,"212,038","3,572","174,911","33,555","5,722",96,"3,285,045","88,656",37053740
Ecuador,"166,302","12,622","141,759","11,921","9,380",712,"537,793","30,332",17730347
Nepal,"164,718",904,"124,862","38,952","5,620",31,"1,419,064","48,421",29306916
Switzerland,"145,044","2,200","65,100","77,744","16,719",254,"1,895,175","218,452",8675457
Bolivia,"141,484","8,705","110,759","22,020","12,067",742,"332,343","28,345",11725010
Portugal,"132,616","2,428","75,702","54,486","13,018",238,"3,327,220","326,621",10186799
